"Cycle_Index","Discharge Time (s)","Decrement 3.6-3.4V (s)","Max. Voltage Dischar. (V)","Min. Voltage Charg. (V)","Time at 4.15V (s)","Time constant current (s)","Charging time (s)","RUL"
"59","2189.5","808.81300000031","4.044","3.388","4971.375","5944.38","9049.91","1054"
"60","2188.19","806.43699999968","4.044","3.389","4964.3130000003","5937.31","9059.31","1053"
"61","2186.25","806.43800000031","4.043","3.391","4960.8434999999","5937.38","9027.75","1052"
"62","2185.56","806.375","4.043","3.39","4957.375","5930.38","9015.12","1051"
"63","2185.12","806.43800000031","4.043","3.39","4957.375","5930.38","9051.06","1050"
"64","2179.06","789.56199999968","4.022","3.625","4921.375","5894","9069.94","1049"
"65","206007.26","-64192.71600002","4.271","3.166","72809.982","84474.65","84474.65","1048"
"66","2182.56","793.19999999995","4.004","3.381","5213.9199999999","6200.32","9459.46","1047"
"67","2182.62","798","4.007","3.395","4969.152","5912.35","9114.85","1046"
"68","2180.13","797.60000000009","4.007","3.394","4969.1784000001","5912.35","9093.92","1045"
"69","2177.34","795","4.008","3.394","4961.9200000002","5912.32","9058.18","1044"
"70","2175.17","795","4.007","3.395","4954.7829999998","5912.38","9064.41","1043"
"71","2173.44","793","4.008","3.398","4947.5510000004","5912.35","9080.74","1042"
"72","2170.56","789.60000000009","4.008","3.397","4940.3200000003","5912.32","9060.73","1041"
"73","2168.26","789.60000000009","4.008","3.399","4933.1209999998","5876.32","9048.26","1040"
"74","2165.54","788","4.008","3.399","4928.3199999998","5876.32","9027.49","1039"
"75","2163.77","786","4.008","3.401","4918.7909999997","5876.39","9027.52","1038"
"76","2162.18","783.60000000009","4.008","3.401","4916.3210000005","5876.32","9008.32","1037"
"77","2160.17","786","4.008","3.401","4911.551","5876.35","9000.64","1036"
"78","2158.66","784","4.008","3.401","4910.3590000002","5876.36","9023.48","1035"
"79","2155.94","780","4.007","3.402","4904.3280000002","5876.33","8968.09","1034"
"80","2154.69","782.39999999991","4.008","3.402","4897.1589999995","5840.36","8974.28","1033"
"81","2152.42","782.39999999991","4.008","3.403","4889.9130000002","5840.31","8965.95","1032"
"82","2151.42","782.39999999991","4.008","3.405","4882.7280000001","5840.33","8962.08","1031"
"83","2149.92","778.39999999991","4.008","3.403","4880.3429999999","5840.34","8958.81","1030"
"84","2148.48","778.39999999991","4.008","3.404","4875.5129999998","5840.31","8930.36","1029"
"85","2147.39","776.39999999991","4.008","3.404","4868.3279999997","5840.33","8962.02","1028"
"86","2145.83","777","4.008","3.405","4868.2659999998","5840.27","8942.92","1027"
"87","2144.58","775","4.008","3.404","4862.3119999999","5804.31","8963.16","1026"
"88","2142.5","772.79999999981","4.008","3.405","4856.3279999997","5804.33","8947.59","1025"
"89","2147.06","763.21800000034","4.018","3.653","4816.3119999999","5788.97","9007.12","1024"
"90","2145.16","766","4.003","3.731","4808.344","5768.34","9026.06","1023"
"91","2147.28","774","4.006","3.41","4853.9440000001","5804.34","8977.31","1022"
"92","2145.28","772.79999999981","4.007","3.406","4861.1439999999","5804.34","8974.09","1021"
"93","2143.12","774","4.008","3.407","4853.9430000004","5804.34","8977.41","1020"
"94","2140.53","770","4.008","3.407","4846.7439999995","5804.34","8960.47","1019"
"95","2138.88","770","4.008","3.407","4839.5130000003","5804.31","8950.19","1018"
"96","2137.31","768","4.007","3.407","4838.375","5804.38","8971.72","1017"
"97","2135.19","769.20000000019","4.007","3.408","4832.375","5804.38","8927.5","1016"
"98","2133.34","769","4.007","3.408","4825.1439999999","5768.34","8944.38","1015"
"99","2130.69","765.60000000009","4.007","3.408","4817.9440000001","5768.34","8896.53","1014"
"100","2128.56","768","4.007","3.409","4810.7439999999","5768.34","8901.75","1013"
"101","2126.97","762","4.006","3.41","4803.5130000003","5768.31","8899.03","1012"
"102","2125.78","762","4.006","3.411","4796.3130000001","5768.31","8913.22","1011"
"103","2124.41","764.39999999991","4.006","3.411","4796.375","5768.38","8916.5","1010"
"104","2122.03","762.39999999991","4.005","3.411","4789.1501999996","5732.34","8875.09","1009"
"105","2112","759","4.005","3.411","4781.9430000004","5732.34","8892.59","1008"
"106","2118.81","760.79999999981","4.006","3.413","4774.7439999999","5732.34","8892.44","1007"
"107","2117.62","756.79999999981","4.006","3.412","4767.5130000003","5732.31","8905.44","1006"
"108","2115.12","757.20000000019","4.005","3.414","4766.375","5732.38","8854.25","1005"
"109","2114.31","755.20000000019","4.006","3.414","4760.375","5732.38","8898.38","1004"
"110","2112.31","753","4.005","3.414","4753.1749999998","5696.38","8870.56","1003"
"111","2111.19","753","4.005","3.414","4748.375","5696.38","8860.06","1002"
"112","2100.94","748.79999999981","3.991","3.415","4745.9750000001","6147.88","8766.5","1001"
"113","2109.81","739.18699999992","4.014","3.674","4690.25","5656","8884.06","1000"
"115","2124.61","751.20000000019","3.998","3.397","5066.2560000001","6056.26","9425.95","998"
"116","2124.16","752","3.999","3.415","4778.321","5732.32","8951.84","997"
"117","2121.79","751.99800000014","4","3.415","4781.8240000005","5732.22","8950.82","996"
"118","2119.97","749.60000000009","4.001","3.417","4772.3519999999","5732.35","8959.65","995"
"119","2117.7","747.60000000009","4.001","3.417","4767.5520000001","5732.35","8965.47","994"
"120","2114.24","747.60000000009","4.001","3.419","4760.3519999999","5696.35","8932.74","993"
"121","2111.11","744","4.001","3.419","4753.1519999993","5696.35","8918.18","992"
"122","2107.84","744","4.001","3.421","4742.3199999998","5696.32","8919.01","991"
"123","2105.28","740","4.001","3.421","4731.52","5696.32","8897.66","990"
"124","2102.91","738","4.001","3.422","4724.3519999999","5660.35","8913.22","989"
"125","2100.16","740.39999999991","4.001","3.423","4717.1210000003","5660.32","8882.59","988"
"126","2098.37","738.39999999991","4.001","3.424","4709.9199999999","5660.32","8886.08","987"
"127","2095.59","734.39999999991","4.001","3.425","4702.7430000002","5660.34","8857.02","986"
"128","2093.19","735","4.001","3.424","4695.5899999999","5660.39","8846.05","985"
"129","2091.2","736.79999999981","4.001","3.425","4688.3280000002","5624.33","8845.25","984"
"130","2089","732.79999999981","4.001","3.426","4681.0499999998","5624.25","8839.94","983"
"131","2086.91","732","4.001","3.427","4673.9590000007","5624.36","8834.91","982"
"132","2084.55","731.20000000019","4.001","3.426","4666.713","5624.31","8807.3","981"
"133","2083.19","731.20000000019","4.001","3.427","4659.5120000001","5624.31","8812.31","980"
"134","2081.8","727.20000000019","4.001","3.428","4652.3120000004","5588.31","8816.34","979"
"135","2079.97","727.20000000019","4.001","3.427","4652.2810000004","5588.28","8807.45","978"
"136","2078.72","727.20000000019","4.001","3.428","4645.1910000001","5588.39","8820.2","977"
"137","2076.91","729.60000000009","4.001","3.427","4640.3590000006","5588.36","8797.52","976"
"138","2078.66","717.59300000034","4.01","3.68","4592.375","5558","8897.53","975"
"139","2077.22","717.60000000009","3.996","3.76","4574.3440000005","5516.34","8858.62","974"
"140","2080.69","725.60000000009","3.999","3.433","4634.3439999996","5588.34","8807.22","973"
"141","2079.28","725.60000000009","4","3.429","4645.1439999994","5588.34","8828.72","972"
"142","2076.56","723.60000000009","4","3.429","4637.9130000002","5588.31","8812.88","971"
"143","2074.47","726","4","3.429","4630.7430000002","5588.34","8809.44","970"
"144","2071.62","720","4","3.431","4623.6060000006","5588.41","8778","969"
"145","2070.34","722.40620000008","3.999","3.43","4616.3119999999","5552.31","8808.19","968"
"146","2069.03","722.39999999991","4","3.43","4609.1440000003","5552.34","8804.88","967"
"147","2067.62","722.39380000019","4","3.431","4604.3130000001","5552.31","8805.75","966"
"148","2065.16","720.79999999981","3.999","3.43","4601.9130000002","5552.31","8784.09","965"
"149","2063.19","716.78140000021","3.999","3.431","4592.3119999999","5552.31","8806.03","964"
"150","2060.94","715.20000000019","3.999","3.432","4586.3440000005","5552.34","8776.62","963"
"151","2058.47","716.99225000013","3.999","3.433","4574.3119999999","5516.31","8743.38","962"
"152","2056.81","713.60000000009","3.998","3.433","4573.1439999994","5516.34","8739.5","961"
"153","2056.25","713.60000000009","3.999","3.433","4565.9130000002","5516.31","8781.31","960"
"154","2054.41","713.60000000009","3.998","3.434","4562.375","5516.38","8763.88","959"
"155","2052.81","711.60000000009","3.998","3.434","4558.7430000002","5516.34","8734.62","958"
"156","2051.94","711.60000000009","3.998","3.435","4551.5120000001","5516.31","8772.62","957"
"157","2050.28","712","3.998","3.435","4550.4060000004","5516.41","8748.69","956"
"158","2049.09","708","3.998","3.435","4544.25","5480.25","8772.62","955"
"159","2047.5","708","3.998","3.435","4544.375","5480.38","8766.19","954"
"160","2045.5","706.39999999991","3.997","3.437","4537.1129999999","5480.31","8747.12","953"
"161","2043.88","706.39999999991","3.998","3.436","4532.3130000001","5480.31","8719.94","952"
"162","2043.88","696","4.007","3.691","4487.3119999999","5453.06","8809.94","951"
"163","2063.62","704.79999999981","3.992","3.778","4422.0479999995","5408.45","8837.34","950"
"164","2063.94","709.60000000009","3.994","3.437","4580.3210000005","5516.32","8844.64","949"
"165","2060.42","705.60000000009","3.994","3.437","4586.3830000004","5516.38","8830.3","948"
"166","2056.9","705.60000000009","3.995","3.437","4574.3829999999","5516.38","8792.38","947"
"167","2054.37","705.60000000009","3.995","3.437","4565.9159999997","5516.32","8818.78","946"
"168","2051.17","704","3.995","3.438","4556.3393333331","5516.32","8789.41","945"
"169","2047.81","702","3.995","3.438","4550.3519999999","5480.35","8762.31","944"
"170","2045.38","702.39999999991","3.994","3.44","4537.1519999993","5480.35","8773.66","943"
"171","2042.37","698.39360000007","3.994","3.441","4529.9590000003","5480.36","8741.28","942"
"172","2039.71","698.39999999991","3.995","3.441","4522.7209999994","5480.32","8740.1","941"
"173","2036.9","694.39999999991","3.994","3.442","4514.3199999998","5444.32","8750.37","940"
"174","2035.27","694.79999999981","3.995","3.442","4508.3519999999","5444.35","8747.84","939"
"175","2033.47","694.79999999981","3.994","3.443","4501.1210000003","5444.32","8731.49","938"
"176","2032","692.79999999981","3.994","3.443","4493.9721999997","5444.34","8720.34","937"
"177","2030.14","692.79999999981","3.995","3.443","4486.7280000001","5444.33","8684.33","936"
"178","2028","688.79999999981","3.995","3.444","4484.375","5408.38","8706.36","935"
"179","2026.05","691.20000000019","3.994","3.444","4478.25","5408.25","8705.12","934"
"180","2024.38","687.20206666645","3.994","3.444","4472.3120000004","5408.31","8708.16","933"
"181","2022.75","689.60000000009","3.994","3.445","4460.3440000005","5408.34","8713.08","932"
"182","2020.77","687.60000000009","3.994","3.445","4454.3280000002","5408.33","8698.22","931"
"183","2020.39","686.99224999966","3.995","3.445","4450.7439999995","5408.34","8709.16","930"
"184","2018.94","687.60000000009","3.994","3.445","4448.3599999999","5408.36","8701.61","929"
"185","2018.08","685.60000000009","3.994","3.446","4443.5589999999","5372.36","8710.62","928"
"186","2017.06","676.81300000008","4.003","3.697","4389.3439999996","5355","8766.66","927"
"187","2016.22","676","3.989","3.773","4370.3430000003","5336.34","8762.41","926"
"188","2021.81","685","3.993","3.451","4436.3439999996","5372.34","8703.72","925"
"189","2020.78","685.60000000009","3.994","3.447","4454.375","5408.38","8719.75","924"
"190","2018.25","684","3.993","3.446","4448.375","5372.38","8714.94","923"
"191","2016.12","686.39999999991","3.993","3.446","4442.3439999996","5372.34","8699.53","922"
"192","2014.19","682.38553333329","3.993","3.447","4436.3430000003","5372.34","8691.94","921"
"193","2012.34","680.39999999991","3.993","3.448","4429.1749999998","5372.38","8698.09","920"
"194","2010.22","680.79999999981","3.993","3.448","4421.9430000004","5372.34","8691.31","919"
"195","2008.03","676.79999999981","3.993","3.448","4414.7749999999","5372.38","8680.53","918"
"196","2006.38","676.79999999981","3.993","3.449","4412.3119999999","5336.31","8661.19","917"
"197","2004.31","676.79999999981","3.993","3.449","4406.375","5336.38","8664.91","916"
"198","2003.25","675.20000000019","3.992","3.449","4400.375","5336.38","8675.59","915"
"199","2001.22","675.20000000019","3.992","3.45","4393.1439999994","5336.34","8663.38","914"
"200","1999.81","675.57519999985","3.991","3.451","4388.3119999999","5336.31","8671.97","913"
"201","1998.75","673.60000000009","3.992","3.451","4382.3279999997","5336.34","8668.19","912"
"202","1997.06","673.60000000009","3.992","3.451","4378.713","5336.31","8680.31","911"
"203","1996","672","3.992","3.451","4371.4189999998","5300.22","8657.47","910"
"204","1994.91","672","3.992","3.451","4370.3130000001","5300.31","8638.31","909"
"205","1993.31","672","3.991","3.451","4364.3440000005","5300.34","8636.97","908"
"206","1992.16","670.39999999991","3.991","3.451","4364.375","5300.38","8640.56","907"
"207","1990.62","670.39999999991","3.991","3.451","4357.0819999995","5300.28","8640.44","906"
"208","1989.94","666.39999999991","3.991","3.453","4349.9130000002","5300.31","8681.19","905"
"209","1987.56","668.79999999981","3.991","3.453","4346.3434999999","5300.31","8610","904"
"210","1985.56","657.625","3.999","3.702","4298.375","5257.06","8737.12","903"
"211","200892.99","99536.9265","4.269","3.279","68880.004","80526.56","80526.56","902"
"212","2010.88","666","3.983","3.434","4796.3519999999","5804.35","9386.14","901"
"213","2014.4","674.40000000037","3.987","3.458","4412.4790000003","5336.48","8762.21","900"
"214","2012.29","672","3.987","3.456","4421.9209999991","5372.32","8765.15","899"
"215","2009.31","668","3.987","3.458","4414.7520000003","5336.35","8738.72","898"
"216","2006.66","668","3.987","3.458","4406.3209999995","5336.32","8725.21","897"
"217","2003.97","668","3.988","3.458","4400.3509999998","5336.35","8736.58","896"
"218","2000.64","666","3.988","3.458","4393.1509999996","5336.35","8712.19","895"
"219","1998.11","660","3.988","3.459","4382.3820000002","5300.38","8707.16","894"
"220","1995.24","662.40000000037","3.987","3.46","4376.3520000009","5300.35","8718.31","893"
"221","1992.42","662.40000000037","3.987","3.46","4364.3509999998","5300.35","8691.45","892"
"222","1989.82","658.40000000037","3.987","3.46","4357.0499999998","5300.25","8684.06","891"
"223","1986.75","658.79999999981","3.987","3.461","4349.9509999994","5300.35","8650.37","890"
"224","1985.02","656.79999999981","3.987","3.461","4340.3830000004","5264.38","8667.87","889"
"225","1982.75","656.79999999981","3.988","3.461","4334.3440000005","5264.34","8624.83","888"
"226","1981.09","656.79999999981","3.988","3.461","4328.3289999999","5264.33","8654.41","887"
"227","1978.81","654","3.987","3.462","4321.1279999996","5264.36","8622.47","886"
"228","1976.89","655.20000000019","3.987","3.461","4313.9589999998","5264.36","8656.77","885"
"229","1974.08","652","3.987","3.462","4306.7130000004","5228.31","8620.47","884"
"230","1972.78","652","3.987","3.462","4299.5120000001","5228.31","8642.33","883"
"231","1971.36","653.59999999963","3.987","3.482","4292.3440000005","5228.34","8640.55","882"
"232","1969.59","651.59999999963","3.987","3.463","4286.3439999996","5228.34","8621.08","881"
"233","1968.67","651.59999999963","3.987","3.463","4280.3439999996","5228.34","8648.67","880"
"234","1966.28","650","3.987","3.463","4277.943","5228.34","8596.86","879"
"235","1962.97","640.81199999992","3.994","3.702","4214.2809999995","5172.98","8750","878"
"236","1962.94","640","3.981","3.781","4184.3439999996","5120.34","8671.41","877"
"237","1969.38","648","3.986","3.469","4263.5120000001","5192.31","8630.66","876"
"238","1968.06","652","3.986","3.464","4280.375","5228.38","8619.94","875"
"239","1966.09","648","3.986","3.464","4277.9254000001","5228.31","8622.12","874"
"240","1963.03","646.40000000037","3.986","3.464","4270.7750000004","5192.38","8609.84","873"
"241","1961.22","644.40000000037","3.986","3.464","4262.3119999999","5192.31","8647.53","872"
"242","1958.5","644.79999999981","3.985","3.465","4256.4060000004","5192.41","8616.53","871"
"243","1956.41","642","3.985","3.466","4244.3439999996","5192.34","8615.66","870"
"244","1955.03","640.79999999981","3.986","3.466","4238.3430000003","5156.34","8619.97","869"
"245","1953.62","642","3.986","3.465","4232.3130000001","5156.31","8601.12","868"
"246","1951.09","643.23199999984","3.986","3.466","4227.5130000003","5156.31","8593.88","867"
"247","1950.19","639.20000000019","3.985","3.466","4220.3130000001","5156.31","8615.75","866"
"248","1948.62","640","3.985","3.466","4220.3439999996","5156.34","8600.94","865"
"249","1946.91","639.59999999963","3.985","3.466","4213.1749999998","5156.38","8576.12","864"
"250","1945.41","637.59999999963","3.985","3.467","4208.375","5156.38","8613.12","863"
"251","1943.84","638","3.985","3.467","4198.7120000003","5120.31","8592.59","862"
"252","1942.44","636","3.984","3.468","4196.3130000001","5120.31","8568.91","861"
"253","1941.44","636","3.984","3.468","4190.2819999996","5120.28","8556.66","860"
"254","1940.31","636.03199999966","3.984","3.467","4184.3130000001","5120.31","8569.16","859"
"255","1938.59","634.40000000037","3.984","3.467","4184.25","5120.25","8534.22","858"
"256","1937.28","632.40000000037","3.984","3.468","4177.2060000002","5120.41","8578.84","857"
"257","1935.62","632.79999999981","3.983","3.468","4169.9439999992","5120.34","8583.72","856"
"258","1932","634","3.983","3.47","4166.375","5084.38","8580.88","855"
"259","1928.62","624","3.991","3.709","4102.375","5061","8671.06","854"
"260","1936.42","628","3.977","3.787","4061.9519999996","5012.35","8612.35","853"
"261","1936.8","628.79999999981","3.979","3.472","4169.8559999997","5084.26","8606.98","852"
"262","1939.39","633.59999999963","3.982","3.471","4169.9179999996","5084.32","8613.47","851"
"263","1937.95","633.59999999963","3.982","3.469","4177.0539999995","5120.25","8611.84","850"
"264","1934.85","630","3.982","3.469","4172.3199999994","5084.32","8576.74","849"
"265","1934.24","630","3.982","3.471","4166.2270000009","5084.23","8597.22","848"
"266","1932","628","3.982","3.47","4162.7199999997","5084.32","8594.79","847"
"267","1930.66","628","3.981","3.47","4155.551","5084.35","8607.04","846"
"268","1927.2","626.40000000037","3.98","3.471","4148.3510000007","5084.35","8560.48","845"
"269","1926.2","626.40000000037","3.981","3.471","4141.1509999996","5084.35","8581.86","844"
"270","1923.91","624.79999999981","3.98","3.473","4136.25","5048.25","8543.45","843"
"271","1922.37","624.79999999981","3.98","3.471","4133.8889999995","5048.29","8566.4","842"
"272","1921.02","622","3.98","3.471","4124.3519999999","5048.35","8548.57","841"
"273","1919.56","622","3.98","3.472","4119.5440000007","5048.34","8567.36","840"
"274","1918.12","623.20000000019","3.98","3.473","4118.3599999994","5048.36","8553.19","839"
"275","1916.39","619.21239999961","3.98","3.473","4112.3600000003","5048.36","8557.92","838"
"276","1914.77","620","3.979","3.473","4106.2349999994","5048.23","8537.67","837"
"277","1913.31","621.59999999963","3.98","3.474","4105.1129999999","5012.31","8547.91","836"
"278","1912","617.59999999963","3.979","3.473","4097.9439999992","5012.34","8552.03","835"
"279","1910.05","620","3.979","3.474","4090.7440000009","5012.34","8519.27","834"
"280","1908.97","620","3.979","3.475","4088.3430000003","5012.34","8513.31","833"
"281","1908.06","616","3.979","3.475","4085.7000000002","5014.5","8529.51","832"
"282","1906.72","616","3.979","3.475","4082.3440000005","5012.34","8489.94","831"
"283","1904","609.59300000034","3.987","3.712","4011.2029999997","4970.02","8630.66","830"
"284","1907.16","611.20000000019","3.976","3.789","3982.7120000003","4940.31","8589.75","829"
"285","1908.06","614.40000000037","3.978","3.48","4076.3119999999","5012.31","8566","828"
"286","1908.34","614.40000000037","3.978","3.478","4076.3430000003","5012.34","8534.06","827"
"287","1908.62","616","3.979","3.477","4082.375","5012.38","8532.47","826"
"288","1907.03","616","3.979","3.476","4076.3130000001","5012.31","8545.47","825"
"289","1903.66","614.40000000037","3.979","3.476","4070.3440000005","5012.34","8523.25","824"
"290","1900.97","612","3.978","3.478","4061.9119999995","4976.31","8496.94","823"
"291","1900.5","612","3.979","3.478","4054.6180000007","4976.22","8533.19","822"
"292","1898.62","608","3.979","3.479","4052.375","4976.38","8546.41","821"
"293","1896.72","608.79999999981","3.979","3.479","4046.3119999999","4976.31","8509.81","820"
"294","1895.94","608.79999999981","3.978","3.479","4040.375","4976.38","8536.88","819"
"295","1894.53","608.79999999981","3.979","3.479","4034.375","4976.38","8510.03","818"
"296","1893.53","610","3.979","3.479","4033.0189999994","4940.22","8541.72","817"
"297","1890.94","607.20000000019","3.978","3.478","4025.9749999996","4940.38","8508.56","816"
"298","1889.97","608","3.978","3.48","4018.7130000004","4940.31","8522.81","815"
"299","1888.47","605.59999999963","3.978","3.48","4016.3430000003","4940.34","8492.47","814"
"300","1886.81","606","3.978","3.48","4011.5750000002","4940.38","8492.09","813"
"301","1885.31","604.0213333331","3.977","3.48","4010.375","4940.38","8464.12","812"
"302","1885.44","604","3.978","3.48","4004.375","4940.38","8518.72","811"
"303","1883.34","600","3.977","3.48","3998.3439999996","4940.34","8517.88","810"
"304","1881.53","602","3.977","3.481","3992.3440000005","4904.34","8495.53","809"
"305","1879.31","598.40000000037","3.977","3.482","3989.9749999996","4904.38","8457.62","808"
"306","1877.69","598.40000000037","3.977","3.482","3982.7120000003","4904.31","8484.19","807"
"307","1873.94","595.18800000008","3.984","3.714","3906.3119999999","4865","8602.12","806"
"308","198748.44","192077.023","4.266","3.29","66689.981000001","78255.55","78255.55","805"
"309","1912.74","604","3.973","3.474","4529.9199999999","5552.32","9509.6","804"
"310","1919.26","614","3.977","3.486","4106.3520000009","5012.35","8624.83","803"
"311","1918.98","614","3.977","3.484","4124.3200000003","5048.32","8596.48","802"
"312","1916.86","613.59999999963","3.978","3.484","4124.3210000005","5048.32","8564.38","801"
"313","1915.1","612","3.978","3.485","4118.3509999989","5048.35","8580.9","800"
"314","1911.9","613.59999999963","3.978","3.485","4112.3200000003","5048.32","8540.1","799"
"315","1909.73","608","3.978","3.485","4105.023000001","5012.22","8550.15","798"
"316","1906.81","609.59999999963","3.978","3.485","4097.919999999","5012.32","8512.1","797"
"317","1903.68","606","3.978","3.485","4088.3210000005","5012.32","8521.09","796"
"318","1913.92","618","3.981","3.486","4076.3519999999","5012.35","8533.6","795"
"319","1899.74","609.59999999963","3.979","3.48","4112.3129999991","5012.31","8526.72","794"
"320","1895.55","604","3.978","3.486","4064.3200000003","4976.32","8489.34","793"
"321","1892.89","604","3.978","3.486","4052.3210000005","4976.31","8481.77","792"
"322","1890.51","602","3.978","3.487","4040.3440000005","4976.34","8482.88","791"
"323","1887.95","602.40000000037","3.977","3.486","4034.3119999999","4940.31","8462.11","790"
"324","1884","602.40000000037","3.978","3.487","4025.9440000011","4940.34","8482.75","789"
"325","1885.31","598.40000000037","3.978","3.487","4018.7439999999","4940.34","8510.02","788"
"326","1883.25","600","3.978","3.488","4011.5130000003","4940.31","8505.31","787"
"327","1880.84","600.79999999981","3.978","3.487","4004.3120000008","4940.31","8481.28","786"
"328","1879.36","596.79999999981","3.978","3.488","3998.3211666662","4904.28","8487.75","785"
"329","1877.01","598","3.977","3.487","3992.3439999996","4904.34","8447.61","784"
"330","1875.33","595.20000000019","3.977","3.488","3986.375","4904.38","8475.12","783"
"331","1872.2","594","3.976","3.488","3980.3600000003","4904.36","8480.42","782"
"332","1864.94","590.375","3.982","3.711","3892.3440000005","4844","8606.99","781"
"333","1868.56","588","3.971","3.791","3860.375","4796.38","8546.41","780"
